Date,Year,Month,Unit,Production,Animal,Commercial or Federally Inspected,Type of Meat
2014-08-01,2014,8,Million Pounds,2023.5,Beef,Commercial,Red Meat
2014-07-01,2014,7,Million Pounds,2087.4,Beef,Commercial,Red Meat
2014-06-01,2014,6,Million Pounds,2069.0,Beef,Commercial,Red Meat
2014-05-01,2014,5,Million Pounds,2071.7,Beef,Commercial,Red Meat
2014-04-01,2014,4,Million Pounds,2043.1,Beef,Commercial,Red Meat
2014-03-01,2014,3,Million Pounds,1937.0,Beef,Commercial,Red Meat
2014-02-01,2014,2,Million Pounds,1788.4,Beef,Commercial,Red Meat
2014-01-01,2014,1,Million Pounds,2140.9,Beef,Commercial,Red Meat
2013-12-01,2013,12,Million Pounds,2047.3,Beef,Commercial,Red Meat
2013-11-01,2013,11,Million Pounds,2057.6,Beef,Commercial,Red Meat
2013-10-01,2013,10,Million Pounds,2318.2,Beef,Commercial,Red Meat
2013-09-01,2013,9,Million Pounds,2073.8,Beef,Commercial,Red Meat
2013-08-01,2013,8,Million Pounds,2241.2,Beef,Commercial,Red Meat
2013-07-01,2013,7,Million Pounds,2294.1,Beef,Commercial,Red Meat
2013-06-01,2013,6,Million Pounds,2157.0,Beef,Commercial,Red Meat
2013-05-01,2013,5,Million Pounds,2227.6,Beef,Commercial,Red Meat
2013-04-01,2013,4,Million Pounds,2128.6,Beef,Commercial,Red Meat
2013-03-01,2013,3,Million Pounds,2039.8,Beef,Commercial,Red Meat
2013-02-01,2013,2,Million Pounds,1873.4,Beef,Commercial,Red Meat
2013-01-01,2013,1,Million Pounds,2261.3,Beef,Commercial,Red Meat
2012-12-01,2012,12,Million Pounds,2020.1,Beef,Commercial,Red Meat
2012-11-01,2012,11,Million Pounds,2207.5,Beef,Commercial,Red Meat
2012-10-01,2012,10,Million Pounds,2344.8,Beef,Commercial,Red Meat
2012-09-01,2012,9,Million Pounds,2015.5,Beef,Commercial,Red Meat
2012-08-01,2012,8,Million Pounds,2368.6,Beef,Commercial,Red Meat
2012-07-01,2012,7,Million Pounds,2201.4,Beef,Commercial,Red Meat
2012-06-01,2012,6,Million Pounds,2250.7,Beef,Commercial,Red Meat
2012-05-01,2012,5,Million Pounds,2231.9,Beef,Commercial,Red Meat
2012-04-01,2012,4,Million Pounds,1990.6,Beef,Commercial,Red Meat
2012-03-01,2012,3,Million Pounds,2159.5,Beef,Commercial,Red Meat
2012-02-01,2012,2,Million Pounds,2008.9,Beef,Commercial,Red Meat
2012-01-01,2012,1,Million Pounds,2113.1,Beef,Commercial,Red Meat
2011-12-01,2011,12,Million Pounds,2126.3,Beef,Commercial,Red Meat
2011-11-01,2011,11,Million Pounds,2148.8,Beef,Commercial,Red Meat
2011-10-01,2011,10,Million Pounds,2215.1,Beef,Commercial,Red Meat
2011-09-01,2011,9,Million Pounds,2215.2,Beef,Commercial,Red Meat
2011-08-01,2011,8,Million Pounds,2386.9,Beef,Commercial,Red Meat
2011-07-01,2011,7,Million Pounds,2134.1,Beef,Commercial,Red Meat
2011-06-01,2011,6,Million Pounds,2375.0,Beef,Commercial,Red Meat
2011-05-01,2011,5,Million Pounds,2131.9,Beef,Commercial,Red Meat
2011-04-01,2011,4,Million Pounds,2052.5,Beef,Commercial,Red Meat
2011-03-01,2011,3,Million Pounds,2266.2,Beef,Commercial,Red Meat
2011-02-01,2011,2,Million Pounds,2020.4,Beef,Commercial,Red Meat
2011-01-01,2011,1,Million Pounds,2122.9,Beef,Commercial,Red Meat
2010-12-01,2010,12,Million Pounds,2270.9,Beef,Commercial,Red Meat
2010-11-01,2010,11,Million Pounds,2235.5,Beef,Commercial,Red Meat
2010-10-01,2010,10,Million Pounds,2234.9,Beef,Commercial,Red Meat
2010-09-01,2010,9,Million Pounds,2252.2,Beef,Commercial,Red Meat
2010-08-01,2010,8,Million Pounds,2286.6,Beef,Commercial,Red Meat
2010-07-01,2010,7,Million Pounds,2229.6,Beef,Commercial,Red Meat
2010-06-01,2010,6,Million Pounds,2320.0,Beef,Commercial,Red Meat
2010-05-01,2010,5,Million Pounds,2087.2,Beef,Commercial,Red Meat
2010-04-01,2010,4,Million Pounds,2139.2,Beef,Commercial,Red Meat
2010-03-01,2010,3,Million Pounds,2211.2,Beef,Commercial,Red Meat
2010-02-01,2010,2,Million Pounds,1955.2,Beef,Commercial,Red Meat
2010-01-01,2010,1,Million Pounds,2081.8,Beef,Commercial,Red Meat
2009-12-01,2009,12,Million Pounds,2134.4,Beef,Commercial,Red Meat
2009-11-01,2009,11,Million Pounds,2016.1,Beef,Commercial,Red Meat
2009-10-01,2009,10,Million Pounds,2275.7,Beef,Commercial,Red Meat
2009-09-01,2009,9,Million Pounds,2234.1,Beef,Commercial,Red Meat
2009-08-01,2009,8,Million Pounds,2184.2,Beef,Commercial,Red Meat
2009-07-01,2009,7,Million Pounds,2271.2,Beef,Commercial,Red Meat
2009-06-01,2009,6,Million Pounds,2289.0,Beef,Commercial,Red Meat
2009-05-01,2009,5,Million Pounds,2179.4,Beef,Commercial,Red Meat
2009-04-01,2009,4,Million Pounds,2133.4,Beef,Commercial,Red Meat
2009-03-01,2009,3,Million Pounds,2144.0,Beef,Commercial,Red Meat
2009-02-01,2009,2,Million Pounds,1986.0,Beef,Commercial,Red Meat
2009-01-01,2009,1,Million Pounds,2117.9,Beef,Commercial,Red Meat
2008-12-01,2008,12,Million Pounds,2082.0,Beef,Commercial,Red Meat
2008-11-01,2008,11,Million Pounds,1959.3,Beef,Commercial,Red Meat
2008-10-01,2008,10,Million Pounds,2340.9,Beef,Commercial,Red Meat
2008-09-01,2008,9,Million Pounds,2269.9,Beef,Commercial,Red Meat
2008-08-01,2008,8,Million Pounds,2266.8,Beef,Commercial,Red Meat
2008-07-01,2008,7,Million Pounds,2371.6,Beef,Commercial,Red Meat
2008-06-01,2008,6,Million Pounds,2263.4,Beef,Commercial,Red Meat
2008-05-01,2008,5,Million Pounds,2380.1,Beef,Commercial,Red Meat
2008-04-01,2008,4,Million Pounds,2255.4,Beef,Commercial,Red Meat
2008-03-01,2008,3,Million Pounds,2100.5,Beef,Commercial,Red Meat
2008-02-01,2008,2,Million Pounds,2038.6,Beef,Commercial,Red Meat
2008-01-01,2008,1,Million Pounds,2232.7,Beef,Commercial,Red Meat
2007-12-01,2007,12,Million Pounds,2061.4,Beef,Commercial,Red Meat
2007-11-01,2007,11,Million Pounds,2228.8,Beef,Commercial,Red Meat
2007-10-01,2007,10,Million Pounds,2443.0,Beef,Commercial,Red Meat
2007-09-01,2007,9,Million Pounds,2094.7,Beef,Commercial,Red Meat
2007-08-01,2007,8,Million Pounds,2450.6,Beef,Commercial,Red Meat
2007-07-01,2007,7,Million Pounds,2256.7,Beef,Commercial,Red Meat
2007-06-01,2007,6,Million Pounds,2348.5,Beef,Commercial,Red Meat
2007-05-01,2007,5,Million Pounds,2285.1,Beef,Commercial,Red Meat
2007-04-01,2007,4,Million Pounds,2015.0,Beef,Commercial,Red Meat
2007-03-01,2007,3,Million Pounds,2118.2,Beef,Commercial,Red Meat
2007-02-01,2007,2,Million Pounds,1952.5,Beef,Commercial,Red Meat
2007-01-01,2007,1,Million Pounds,2166.0,Beef,Commercial,Red Meat
2006-12-01,2006,12,Million Pounds,2049.6,Beef,Commercial,Red Meat
2006-11-01,2006,11,Million Pounds,2226.6,Beef,Commercial,Red Meat
2006-10-01,2006,10,Million Pounds,2236.4,Beef,Commercial,Red Meat
2006-09-01,2006,9,Million Pounds,2169.9,Beef,Commercial,Red Meat
2006-08-01,2006,8,Million Pounds,2450.0,Beef,Commercial,Red Meat
2006-07-01,2006,7,Million Pounds,2213.6,Beef,Commercial,Red Meat
2006-06-01,2006,6,Million Pounds,2446.1,Beef,Commercial,Red Meat
2006-05-01,2006,5,Million Pounds,2309.0,Beef,Commercial,Red Meat
2006-04-01,2006,4,Million Pounds,1969.2,Beef,Commercial,Red Meat
2006-03-01,2006,3,Million Pounds,2203.7,Beef,Commercial,Red Meat
2006-02-01,2006,2,Million Pounds,1826.9,Beef,Commercial,Red Meat
2006-01-01,2006,1,Million Pounds,2051.0,Beef,Commercial,Red Meat
2005-12-01,2005,12,Million Pounds,2057.3,Beef,Commercial,Red Meat
2005-11-01,2005,11,Million Pounds,2071.3,Beef,Commercial,Red Meat
2005-10-01,2005,10,Million Pounds,2080.7,Beef,Commercial,Red Meat
2005-09-01,2005,9,Million Pounds,2158.0,Beef,Commercial,Red Meat
2005-08-01,2005,8,Million Pounds,2319.0,Beef,Commercial,Red Meat
2005-07-01,2005,7,Million Pounds,2082.8,Beef,Commercial,Red Meat
2005-06-01,2005,6,Million Pounds,2227.0,Beef,Commercial,Red Meat
2005-05-01,2005,5,Million Pounds,2074.0,Beef,Commercial,Red Meat
2005-04-01,2005,4,Million Pounds,1887.8,Beef,Commercial,Red Meat
2005-03-01,2005,3,Million Pounds,2041.7,Beef,Commercial,Red Meat
2005-02-01,2005,2,Million Pounds,1767.4,Beef,Commercial,Red Meat
2005-01-01,2005,1,Million Pounds,1915.6,Beef,Commercial,Red Meat
2004-12-01,2004,12,Million Pounds,2042.0,Beef,Commercial,Red Meat
2004-11-01,2004,11,Million Pounds,1941.0,Beef,Commercial,Red Meat
2004-10-01,2004,10,Million Pounds,2114.0,Beef,Commercial,Red Meat
2004-09-01,2004,9,Million Pounds,2105.0,Beef,Commercial,Red Meat
2004-08-01,2004,8,Million Pounds,2151.0,Beef,Commercial,Red Meat
2004-07-01,2004,7,Million Pounds,2104.0,Beef,Commercial,Red Meat
2004-06-01,2004,6,Million Pounds,2227.0,Beef,Commercial,Red Meat
2004-05-01,2004,5,Million Pounds,2070.0,Beef,Commercial,Red Meat
2004-04-01,2004,4,Million Pounds,1956.0,Beef,Commercial,Red Meat
2004-03-01,2004,3,Million Pounds,2108.0,Beef,Commercial,Red Meat
2004-02-01,2004,2,Million Pounds,1804.0,Beef,Commercial,Red Meat
2004-01-01,2004,1,Million Pounds,1926.0,Beef,Commercial,Red Meat
2003-12-01,2003,12,Million Pounds,1978.0,Beef,Commercial,Red Meat
2003-11-01,2003,11,Million Pounds,1783.0,Beef,Commercial,Red Meat
2003-10-01,2003,10,Million Pounds,2212.0,Beef,Commercial,Red Meat
2003-09-01,2003,9,Million Pounds,2314.0,Beef,Commercial,Red Meat
2003-08-01,2003,8,Million Pounds,2328.0,Beef,Commercial,Red Meat
2003-07-01,2003,7,Million Pounds,2439.0,Beef,Commercial,Red Meat
2003-06-01,2003,6,Million Pounds,2391.0,Beef,Commercial,Red Meat
2003-05-01,2003,5,Million Pounds,2360.0,Beef,Commercial,Red Meat
2003-04-01,2003,4,Million Pounds,2151.0,Beef,Commercial,Red Meat
2003-03-01,2003,3,Million Pounds,2048.0,Beef,Commercial,Red Meat
2003-02-01,2003,2,Million Pounds,1942.0,Beef,Commercial,Red Meat
2003-01-01,2003,1,Million Pounds,2291.0,Beef,Commercial,Red Meat
2002-12-01,2002,12,Million Pounds,2107.0,Beef,Commercial,Red Meat
2002-11-01,2002,11,Million Pounds,2164.0,Beef,Commercial,Red Meat
2002-10-01,2002,10,Million Pounds,2512.0,Beef,Commercial,Red Meat
2002-09-01,2002,9,Million Pounds,2201.0,Beef,Commercial,Red Meat
2002-08-01,2002,8,Million Pounds,2469.0,Beef,Commercial,Red Meat
2002-07-01,2002,7,Million Pounds,2427.0,Beef,Commercial,Red Meat
2002-06-01,2002,6,Million Pounds,2302.0,Beef,Commercial,Red Meat
2002-05-01,2002,5,Million Pounds,2336.0,Beef,Commercial,Red Meat
2002-04-01,2002,4,Million Pounds,2195.0,Beef,Commercial,Red Meat
2002-03-01,2002,3,Million Pounds,2059.0,Beef,Commercial,Red Meat
2002-02-01,2002,2,Million Pounds,1987.0,Beef,Commercial,Red Meat
2002-01-01,2002,1,Million Pounds,2331.0,Beef,Commercial,Red Meat
2001-12-01,2001,12,Million Pounds,2110.0,Beef,Commercial,Red Meat
2001-11-01,2001,11,Million Pounds,2201.0,Beef,Commercial,Red Meat
2001-10-01,2001,10,Million Pounds,2389.0,Beef,Commercial,Red Meat
2001-09-01,2001,9,Million Pounds,2121.0,Beef,Commercial,Red Meat
2001-08-01,2001,8,Million Pounds,2425.0,Beef,Commercial,Red Meat
2001-07-01,2001,7,Million Pounds,2177.0,Beef,Commercial,Red Meat
2001-06-01,2001,6,Million Pounds,2269.0,Beef,Commercial,Red Meat
2001-05-01,2001,5,Million Pounds,2294.0,Beef,Commercial,Red Meat
2001-04-01,2001,4,Million Pounds,1939.0,Beef,Commercial,Red Meat
2001-03-01,2001,3,Million Pounds,2096.0,Beef,Commercial,Red Meat
2001-02-01,2001,2,Million Pounds,1881.0,Beef,Commercial,Red Meat
2001-01-01,2001,1,Million Pounds,2205.0,Beef,Commercial,Red Meat
2000-12-01,2000,12,Million Pounds,1997.0,Beef,Commercial,Red Meat
2000-11-01,2000,11,Million Pounds,2169.0,Beef,Commercial,Red Meat
2000-10-01,2000,10,Million Pounds,2345.0,Beef,Commercial,Red Meat
2000-09-01,2000,9,Million Pounds,2275.0,Beef,Commercial,Red Meat
2000-08-01,2000,8,Million Pounds,2437.0,Beef,Commercial,Red Meat
2000-07-01,2000,7,Million Pounds,2202.0,Beef,Commercial,Red Meat
2000-06-01,2000,6,Million Pounds,2369.0,Beef,Commercial,Red Meat
2000-05-01,2000,5,Million Pounds,2303.0,Beef,Commercial,Red Meat
2000-04-01,2000,4,Million Pounds,2027.0,Beef,Commercial,Red Meat
2000-03-01,2000,3,Million Pounds,2300.0,Beef,Commercial,Red Meat
2000-02-01,2000,2,Million Pounds,2175.0,Beef,Commercial,Red Meat
2000-01-01,2000,1,Million Pounds,2178.0,Beef,Commercial,Red Meat
1999-12-01,1999,12,Million Pounds,2113.0,Beef,Commercial,Red Meat
1999-11-01,1999,11,Million Pounds,2144.0,Beef,Commercial,Red Meat
1999-10-01,1999,10,Million Pounds,2265.0,Beef,Commercial,Red Meat
1999-09-01,1999,9,Million Pounds,2275.0,Beef,Commercial,Red Meat
1999-08-01,1999,8,Million Pounds,2307.0,Beef,Commercial,Red Meat
1999-07-01,1999,7,Million Pounds,2256.0,Beef,Commercial,Red Meat
1999-06-01,1999,6,Million Pounds,2321.0,Beef,Commercial,Red Meat
1999-05-01,1999,5,Million Pounds,2151.0,Beef,Commercial,Red Meat
1999-04-01,1999,4,Million Pounds,2155.0,Beef,Commercial,Red Meat
1999-03-01,1999,3,Million Pounds,2231.0,Beef,Commercial,Red Meat
1999-02-01,1999,2,Million Pounds,1998.0,Beef,Commercial,Red Meat
1999-01-01,1999,1,Million Pounds,2170.0,Beef,Commercial,Red Meat
1998-12-01,1998,12,Million Pounds,2100.0,Beef,Commercial,Red Meat
1998-11-01,1998,11,Million Pounds,2003.0,Beef,Commercial,Red Meat
1998-10-01,1998,10,Million Pounds,2236.0,Beef,Commercial,Red Meat
1998-09-01,1998,9,Million Pounds,2197.0,Beef,Commercial,Red Meat
1998-08-01,1998,8,Million Pounds,2228.0,Beef,Commercial,Red Meat
1998-07-01,1998,7,Million Pounds,2213.0,Beef,Commercial,Red Meat
1998-06-01,1998,6,Million Pounds,2248.0,Beef,Commercial,Red Meat
1998-05-01,1998,5,Million Pounds,2123.0,Beef,Commercial,Red Meat
1998-04-01,1998,4,Million Pounds,2090.0,Beef,Commercial,Red Meat
1998-03-01,1998,3,Million Pounds,2081.0,Beef,Commercial,Red Meat
1998-02-01,1998,2,Million Pounds,1977.0,Beef,Commercial,Red Meat
1998-01-01,1998,1,Million Pounds,2157.0,Beef,Commercial,Red Meat
1997-12-01,1997,12,Million Pounds,2024.0,Beef,Commercial,Red Meat
1997-11-01,1997,11,Million Pounds,1934.0,Beef,Commercial,Red Meat
1997-10-01,1997,10,Million Pounds,2300.0,Beef,Commercial,Red Meat
1997-09-01,1997,9,Million Pounds,2126.0,Beef,Commercial,Red Meat
1997-08-01,1997,8,Million Pounds,2221.0,Beef,Commercial,Red Meat
1997-07-01,1997,7,Million Pounds,2256.0,Beef,Commercial,Red Meat
1997-06-01,1997,6,Million Pounds,2132.0,Beef,Commercial,Red Meat
1997-05-01,1997,5,Million Pounds,2189.0,Beef,Commercial,Red Meat
1997-04-01,1997,4,Million Pounds,2095.0,Beef,Commercial,Red Meat
1997-03-01,1997,3,Million Pounds,1966.0,Beef,Commercial,Red Meat
1997-02-01,1997,2,Million Pounds,1919.0,Beef,Commercial,Red Meat
1997-01-01,1997,1,Million Pounds,2222.0,Beef,Commercial,Red Meat
1996-12-01,1996,12,Million Pounds,1950.0,Beef,Commercial,Red Meat
1996-11-01,1996,11,Million Pounds,1955.0,Beef,Commercial,Red Meat
1996-10-01,1996,10,Million Pounds,2179.0,Beef,Commercial,Red Meat
1996-09-01,1996,9,Million Pounds,1934.0,Beef,Commercial,Red Meat
1996-08-01,1996,8,Million Pounds,2262.0,Beef,Commercial,Red Meat
1996-07-01,1996,7,Million Pounds,2194.0,Beef,Commercial,Red Meat
1996-06-01,1996,6,Million Pounds,2186.0,Beef,Commercial,Red Meat
1996-05-01,1996,5,Million Pounds,2302.0,Beef,Commercial,Red Meat
1996-04-01,1996,4,Million Pounds,2154.0,Beef,Commercial,Red Meat
1996-03-01,1996,3,Million Pounds,2035.0,Beef,Commercial,Red Meat
1996-02-01,1996,2,Million Pounds,2048.0,Beef,Commercial,Red Meat
1996-01-01,1996,1,Million Pounds,2220.0,Beef,Commercial,Red Meat
1995-12-01,1995,12,Million Pounds,1998.0,Beef,Commercial,Red Meat
1995-11-01,1995,11,Million Pounds,2098.0,Beef,Commercial,Red Meat
1995-10-01,1995,10,Million Pounds,2181.0,Beef,Commercial,Red Meat
1995-09-01,1995,9,Million Pounds,2220.0,Beef,Commercial,Red Meat
1995-08-01,1995,8,Million Pounds,2316.0,Beef,Commercial,Red Meat
1995-07-01,1995,7,Million Pounds,2089.0,Beef,Commercial,Red Meat
1995-06-01,1995,6,Million Pounds,2285.0,Beef,Commercial,Red Meat
1995-05-01,1995,5,Million Pounds,2186.0,Beef,Commercial,Red Meat
1995-04-01,1995,4,Million Pounds,1854.0,Beef,Commercial,Red Meat
1995-03-01,1995,3,Million Pounds,2067.0,Beef,Commercial,Red Meat
1995-02-01,1995,2,Million Pounds,1811.0,Beef,Commercial,Red Meat
1995-01-01,1995,1,Million Pounds,2010.0,Beef,Commercial,Red Meat
1994-12-01,1994,12,Million Pounds,2020.0,Beef,Commercial,Red Meat
1994-11-01,1994,11,Million Pounds,1978.0,Beef,Commercial,Red Meat
1994-10-01,1994,10,Million Pounds,2116.0,Beef,Commercial,Red Meat
1994-09-01,1994,9,Million Pounds,2135.0,Beef,Commercial,Red Meat
1994-08-01,1994,8,Million Pounds,2215.0,Beef,Commercial,Red Meat
1994-07-01,1994,7,Million Pounds,2027.0,Beef,Commercial,Red Meat
1994-06-01,1994,6,Million Pounds,2156.0,Beef,Commercial,Red Meat
1994-05-01,1994,5,Million Pounds,1985.0,Beef,Commercial,Red Meat
